Species	Symbol	Entrez ID	Model Organism	Model Organism Symbol	Model Organism Entrez ID
Mus musculus	Prkaa2	108079	Caenorhabditis elegans	aak-2	181727	
Mus musculus	Prkab2	108097	Caenorhabditis elegans	aakb-1	181492	
Mus musculus	Prkab2	108097	Caenorhabditis elegans	aakb-2	176552	
Mus musculus	Ache	11423	Caenorhabditis elegans	ace-1	181706	
Mus musculus	Agpat5	52123	Caenorhabditis elegans	acl-11	185044	
Mus musculus	Aco2	11429	Caenorhabditis elegans	aco-2	176121	
Mus musculus	Slc27a1	26457	Caenorhabditis elegans	acs-20	178190	
Mus musculus	Adarb1	110532	Caenorhabditis elegans	adr-2	176022	
Mus musculus	Pik3ca	18706	Caenorhabditis elegans	age-1	174762	
Mus musculus	Agmo	319660	Caenorhabditis elegans	agmo-1	176695	
Mus musculus	Zfand2a	100494	Caenorhabditis elegans	aip-1	179898	
Mus musculus	Akt2	11652	Caenorhabditis elegans	akt-1	179424	
Mus musculus	Eif2c2	239528	Caenorhabditis elegans	alg-2	173468	
Mus musculus	Slc25a4	11739	Caenorhabditis elegans	ant-1.1	176773	
Mus musculus	Ap3s2	11778	Caenorhabditis elegans	aps-3	171691	
Mus musculus	Cant1	76025	Caenorhabditis elegans	apy-1	181019	
Mus musculus	Arl8b	67166	Caenorhabditis elegans	arl-8	178405	
Mus musculus	Arrb1	109689	Caenorhabditis elegans	arr-1	180446	
Mus musculus	Arpc2	76709	Caenorhabditis elegans	arx-4	175247	
Mus musculus	Atp5f1	11950	Caenorhabditis elegans	asb-1	175605	
Mus musculus	Atp5f1	11950	Caenorhabditis elegans	asb-2	180718	
Mus musculus	Ash2l	23808	Caenorhabditis elegans	ash-2	174838	
Mus musculus	Wipi2	74781	Caenorhabditis elegans	atg-18	179246	
Mus musculus	Atg3	67841	Caenorhabditis elegans	atg-3	176921	
Mus musculus	Atg4a	666468	Caenorhabditis elegans	atg-4.1	190777	
Mus musculus	Atg4d	235040	Caenorhabditis elegans	atg-4.2	3565022	
Mus musculus	Atg7	100043926	Caenorhabditis elegans	atg-7	178005	
Mus musculus	Atg9a	245860	Caenorhabditis elegans	atg-9	178561	
Mus musculus	Atp5b	11947	Caenorhabditis elegans	atp-2	175716	
Mus musculus	Atp5o	100047429	Caenorhabditis elegans	atp-3	172195	
Mus musculus	Atp5h	71679	Caenorhabditis elegans	atp-5	179541	
Mus musculus	Ddx18	66942	Caenorhabditis elegans	B0511.6	172954	
Mus musculus	Banf1	23825	Caenorhabditis elegans	baf-1	176330	
Mus musculus	Becn1	56208	Caenorhabditis elegans	bec-1	177345	
Mus musculus	Prdm1	12142	Caenorhabditis elegans	blmp-1	172917	
Mus musculus	Bub3	12237	Caenorhabditis elegans	bub-3	175018	
Mus musculus	Gtf2f1	98053	Caenorhabditis elegans	C01F1.1	173764	
Mus musculus	Mgrn1	17237	Caenorhabditis elegans	C11H1.3	181537	
Mus musculus	Sft2d3	67158	Caenorhabditis elegans	C18E9.10	174427	
Mus musculus	Slc25a3	100046151	Caenorhabditis elegans	C33F10.12	183168	
Mus musculus	Cds1	74596	Caenorhabditis elegans	C33H5.18	3565046	
Mus musculus	Polr3c	74414	Caenorhabditis elegans	C48E7.2	172321	
Mus musculus	Calu	12321	Caenorhabditis elegans	calu-1	180769	
Mus musculus	Hccs	15159	Caenorhabditis elegans	cchl-1	174713	
Mus musculus	Gm11273	100046079	Caenorhabditis elegans	cco-1	172832	
Mus musculus	Cox5a	12858	Caenorhabditis elegans	cco-2	176707	
Mus musculus	Cnot6l	231464	Caenorhabditis elegans	ccr-4	178184	
Mus musculus	Cct4	12464	Caenorhabditis elegans	cct-4	174330	
Mus musculus	Cct6b	12467	Caenorhabditis elegans	cct-6	175819	
Mus musculus	Cdc25b	12531	Caenorhabditis elegans	cdc-25.1	172353	
Mus musculus	Cdk7	12572	Caenorhabditis elegans	cdk-7	171784	
Mus musculus	Casp2	12366	Caenorhabditis elegans	ced-3	178272	
Mus musculus	Vsx2	12677	Caenorhabditis elegans	ceh-10	175811	
Mus musculus	Rngtt	24018	Caenorhabditis elegans	cel-1	172814	
Mus musculus	Ndufa5	68202	Caenorhabditis elegans	CELE_C33A12.1	177786	
Mus musculus	Prpf38a	230596	Caenorhabditis elegans	CELE_D1054.14	179499	
Mus musculus	Hsd17b14	66065	Caenorhabditis elegans	CELE_D1054.8	183917	
Mus musculus	Eif2b4	13667	Caenorhabditis elegans	CELE_F11A3.2	179331	
Mus musculus	Fam58b	69109	Caenorhabditis elegans	CELE_F43D2.1	185704	
Mus musculus	Rsl1d1	66409	Caenorhabditis elegans	CELE_F53F4.11	179849	
Mus musculus	Fam116b	69440	Caenorhabditis elegans	CELE_F53H1.3	176945	
Mus musculus	Ndufb10	68342	Caenorhabditis elegans	CELE_F59C6.5	172933	
Mus musculus	Cox4i1	12857	Caenorhabditis elegans	CELE_W09C5.8	173237	
Mus musculus	AK157302	432732	Caenorhabditis elegans	CELE_Y39B6A.3	180262	
Mus musculus	Eif2s3y	26908	Caenorhabditis elegans	CELE_Y39G10AR.8	171792	
Mus musculus	Kin	16588	Caenorhabditis elegans	CELE_Y52B11A.9	173005	
Mus musculus	Nob1	67619	Caenorhabditis elegans	CELE_Y54E10BR.4	171874	
Mus musculus	Cltc	67300	Caenorhabditis elegans	chc-1	176434	
Mus musculus	Ift140	106633	Caenorhabditis elegans	che-11	179666	
Mus musculus	Ift57	73916	Caenorhabditis elegans	che-13	186607	
Mus musculus	Ift80	68259	Caenorhabditis elegans	che-2	180401	
Mus musculus	Dync2h1	110350	Caenorhabditis elegans	che-3	172593	
Mus musculus	Chek1	12649	Caenorhabditis elegans	chk-1	3565921	
Mus musculus	Stub1	56424	Caenorhabditis elegans	chn-1	172303	
Mus musculus	Zcchc6	214290	Caenorhabditis elegans	cid-1	175707	
Mus musculus	Ccnt2	72949	Caenorhabditis elegans	cit-1.2	176126	
Mus musculus	Telo2	71718	Caenorhabditis elegans	clk-2	176065	
Mus musculus	Ppp3r1	19058	Caenorhabditis elegans	cnb-1	179572	
Mus musculus	C1qtnf9	239126	Caenorhabditis elegans	col-93	259335	
Mus musculus	Exosc5	27998	Caenorhabditis elegans	crn-5	174634	
Mus musculus	Crtc1	382056	Caenorhabditis elegans	crtc-1	259368	
Mus musculus	Stk3	56274	Caenorhabditis elegans	cst-1	180708	
Mus musculus	Atp7a	11977	Caenorhabditis elegans	cua-1	176770	
Mus musculus	Cul1	26965	Caenorhabditis elegans	cul-1	176466	
Mus musculus	Cyc1	66445	Caenorhabditis elegans	cyc-1	172582	
Mus musculus	Gm10053	672195	Caenorhabditis elegans	cyc-2.1	177243	
Mus musculus	Cyp3a13	13113	Caenorhabditis elegans	cyp-13B1	181462	
Mus musculus	Cyp2c65	72303	Caenorhabditis elegans	cyp-33E2	185653	
Mus musculus	Fam126a	84652	Caenorhabditis elegans	D1069.3	173425	
Mus musculus	Man1a	17155	Caenorhabditis elegans	D2030.1	172510	
Mus musculus	Ndufb7	66916	Caenorhabditis elegans	D2030.4	172513	
Mus musculus	Eif2b5	224045	Caenorhabditis elegans	D2085.3	174387	
Mus musculus	Acvr1c	269275	Caenorhabditis elegans	daf-1	176829	
Mus musculus	Ift122	81896	Caenorhabditis elegans	daf-10	184883	
Mus musculus	Rptor	74370	Caenorhabditis elegans	daf-15	177770	
Mus musculus	Rfx1	19724	Caenorhabditis elegans	daf-19	174577	
Mus musculus	Igf1r	16001	Caenorhabditis elegans	daf-2	175410	
Mus musculus	Acvr2b	11481	Caenorhabditis elegans	daf-4	175781	
Mus musculus	Mstn	17700	Caenorhabditis elegans	daf-7	175237	
Mus musculus	Ccdc53	67282	Caenorhabditis elegans	ddl-1	173954	
Mus musculus	ORF19	68767	Caenorhabditis elegans	ddl-2	190025	
Mus musculus	Ttc19	72795	Caenorhabditis elegans	ddl-3	175087	
Mus musculus	Dcxr	67880	Caenorhabditis elegans	dhs-21	179741	
Mus musculus	Dis3	72662	Caenorhabditis elegans	dis-3	177875	
Mus musculus	Prkd3	75292	Caenorhabditis elegans	dkf-2	180121	
Mus musculus	Dld	13382	Caenorhabditis elegans	dld-1	178387	
Mus musculus	Map3k13	71751	Caenorhabditis elegans	dlk-1	173128	
Mus musculus	Eif4h	22384	Caenorhabditis elegans	drr-2	259546	
Mus musculus	Opa1	74143	Caenorhabditis elegans	eat-3	174476	
Mus musculus	Atp1a1	11928	Caenorhabditis elegans	eat-6	179796	
Mus musculus	Eef2	13629	Caenorhabditis elegans	eef-2	172743	
Mus musculus	Rgs7	24012	Caenorhabditis elegans	egl-10	179707	
Mus musculus	Gata5	14464	Caenorhabditis elegans	egl-18	176992	
Mus musculus	Pcsk2	18549	Caenorhabditis elegans	egl-3	179412	
Mus musculus	Gnaq	14682	Caenorhabditis elegans	egl-30	171751	
Mus musculus	Eif3a	13669	Caenorhabditis elegans	egl-45	176094	
Mus musculus	Plcb4	18798	Caenorhabditis elegans	egl-8	178537	
Mus musculus	Egln1	112405	Caenorhabditis elegans	egl-9	179461	
Mus musculus	Pigb	55981	Caenorhabditis elegans	eif-1	266853	
Mus musculus	Eif3b	27979	Caenorhabditis elegans	eif-3.B	175138	
Mus musculus	Eif3f	66085	Caenorhabditis elegans	eif-3.F	174478	
Mus musculus	Gata5	14464	Caenorhabditis elegans	elt-6	176993	
Mus musculus	Slc29a1	63959	Caenorhabditis elegans	ent-5	184599	
Mus musculus	Epc1	13831	Caenorhabditis elegans	epc-1	176679	
Mus musculus	Eri2	71151	Caenorhabditis elegans	eri-1	176868	
Mus musculus	Msn	17698	Caenorhabditis elegans	erm-1	172174	
Mus musculus	Ero1l	50527	Caenorhabditis elegans	ero-1	173325	
Mus musculus	Spdef	30051	Caenorhabditis elegans	ets-4	180927	
Mus musculus	Apex1	11792	Caenorhabditis elegans	exo-3	173069	
Mus musculus	Exosc3	66362	Caenorhabditis elegans	exos-3	186604	
Mus musculus	Slc25a3	100046151	Caenorhabditis elegans	F01G4.6	178020	
Mus musculus	Snrpc	20630	Caenorhabditis elegans	F08B4.7	177674	
Mus musculus	Slc25a44	229517	Caenorhabditis elegans	F13G3.7	172478	
Mus musculus	Polr1b	20017	Caenorhabditis elegans	F14B4.3	172752	
Mus musculus	Uckl1	68556	Caenorhabditis elegans	F19B6.1	178181	
Mus musculus	Rbbp5	213464	Caenorhabditis elegans	F21H12.1	174019	
Mus musculus	Gm3386	100041521	Caenorhabditis elegans	F26E4.6	3565338	
Mus musculus	4933427G17	74466	Caenorhabditis elegans	F28B3.5	172111	
Mus musculus	Mrpl1	94061	Caenorhabditis elegans	F33D4.5	177549	
Mus musculus	Uqcrq	22272	Caenorhabditis elegans	F45H10.2	174992	
Mus musculus	Xdh	22436	Caenorhabditis elegans	F55B11.1	178381	
Mus musculus	Acox3	80911	Caenorhabditis elegans	F58F9.7	177386	
Mus musculus	Scd3	30049	Caenorhabditis elegans	fat-7	179100	
Mus musculus	Fbp1	14121	Caenorhabditis elegans	fbp-1	266822	
Mus musculus	Fxn	14297	Caenorhabditis elegans	frh-1	174002	
Mus musculus	Ywhaz	22631	Caenorhabditis elegans	ftt-2	181348	
Mus musculus	Ndufs2	226646	Caenorhabditis elegans	gas-1	181646	
Mus musculus	Gdi1	14567	Caenorhabditis elegans	gdi-1	178402	
Mus musculus	Notch2	18129	Caenorhabditis elegans	glp-1	176286	
Mus musculus	Gng7	14708	Caenorhabditis elegans	gpc-1	181424	
Mus musculus	Gm5138	100505181	Caenorhabditis elegans	gpd-2	3565504	
Mus musculus	Gm5138	100505181	Caenorhabditis elegans	gpd-3	180601	
Mus musculus	Gpi1	14751	Caenorhabditis elegans	gpi-1	173227	
Mus musculus	Rbm15b	109095	Caenorhabditis elegans	grld-1	176827	
Mus musculus	Trit1	66966	Caenorhabditis elegans	gro-1	175725	
