Species	Symbol	Entrez ID	Model Organism	Model Organism Symbol	Model Organism Entrez ID
Drosophila melanogaster	alc	35931	Caenorhabditis elegans	aakb-1	181492	
Drosophila melanogaster	alc	35931	Caenorhabditis elegans	aakb-2	176552	
Drosophila melanogaster	Ace	41625	Caenorhabditis elegans	ace-1	181706	
Drosophila melanogaster	Acon	44149	Caenorhabditis elegans	aco-2	176121	
Drosophila melanogaster	Fatp	44227	Caenorhabditis elegans	acs-20	178190	
Drosophila melanogaster	Adar	31130	Caenorhabditis elegans	adr-2	176022	
Drosophila melanogaster	Pi3K92E	42446	Caenorhabditis elegans	age-1	174762	
Drosophila melanogaster	CG12795	33561	Caenorhabditis elegans	aip-1	179898	
Drosophila melanogaster	Akt1	41957	Caenorhabditis elegans	akt-1	179424	
Drosophila melanogaster	AGO1	36544	Caenorhabditis elegans	alg-2	173468	
Drosophila melanogaster	CG6499	41841	Caenorhabditis elegans	amt-2	186047	
Drosophila melanogaster	Ant2	32008	Caenorhabditis elegans	ant-1.1	176773	
Drosophila melanogaster	or	43943	Caenorhabditis elegans	aps-3	171691	
Drosophila melanogaster	CG5276	41373	Caenorhabditis elegans	apy-1	181019	
Drosophila melanogaster	Gie	40961	Caenorhabditis elegans	arl-8	178405	
Drosophila melanogaster	krz	53554	Caenorhabditis elegans	arr-1	180446	
Drosophila melanogaster	Arc-p34	35311	Caenorhabditis elegans	arx-4	175247	
Drosophila melanogaster	ATPsyn-b	39143	Caenorhabditis elegans	asb-1	175605	
Drosophila melanogaster	ATPsyn-b	39143	Caenorhabditis elegans	asb-2	180718	
Drosophila melanogaster	l(2)06225	46069	Caenorhabditis elegans	asg-1	172673	
Drosophila melanogaster	l(2)06225	46069	Caenorhabditis elegans	asg-2	180956	
Drosophila melanogaster	Atg18	38913	Caenorhabditis elegans	atg-18	179246	
Drosophila melanogaster	Aut1	40044	Caenorhabditis elegans	atg-3	176921	
Drosophila melanogaster	Atg4	33283	Caenorhabditis elegans	atg-4.1	190777	
Drosophila melanogaster	CG6194	41868	Caenorhabditis elegans	atg-4.2	3565022	
Drosophila melanogaster	Atg7	37141	Caenorhabditis elegans	atg-7	178005	
