Gene 1	Gene Name 1	Gene 2	Gene Name 2	AA %id	Length Ratio
YCL051W	LRE1	YDR528W	HLR1	25%	0.73
YCL050C	APA1	YDR530C	APA2	60%	0.99
YDR524C-B	YDR524C-B	YCL048W-A	YCL048W-A	48%	0.84
YCL048W	SPS22	YDR522C	SPS2	42%	0.92
YCL043C	PDI1	YDR518W	EUG1	39%	0.99
YCL040W	GLK1	YDR516C	EMI2	73%	1.00
YCL037C	SRO9	YDR515W	SLF1	25%	0.97
YCL036W	GFD2	YDR514C	YDR514C	37%	0.85
YCL035C	GRX1	YDR513W	GRX2	62%	0.77
YCL025C	AGP1	YDR508C	GNP1	67%	0.95
YCL024W	KCC4	YDR507C	GIN4	47%	0.91
YDR505C	PSP1	YLR177W	YLR177W	48%	0.75
YDR502C	SAM2	YLR180W	SAM1	91%	0.99
YDR501W	PLM2	YLR183C	TOS4	31%	0.94
YDR500C	RPL37B	YLR185W	RPL37A	93%	1.00
YLR187W	SKG3	YNL278W	CAF120	32%	0.97
YNL270C	ALP1	YEL063C	CAN1	65%	0.97
YHR155W	YSP1	YNL257C	SIP3	37%	1.00
YCR037C	PHO87	YJL198W	PHO90	69%	0.95
YCR034W	FEN1	YJL196C	ELO1	55%	0.89
YCR031C	RPS14A	YJL191W	RPS14B	97%	0.99
YJL181W	YJL181W	YJR030C	YJR030C	23%	0.82
YJL177W	RPL17B	YKL180W	RPL17A	98%	1.00
YJL165C	HAL5	YKL168C	KKQ8	39%	0.85
YJL164C	TPK1	YKL166C	TPK3	71%	1.00
YJL160C	YJL160C	YKL164C	PIR1	55%	0.84
YJL159W	HSP150	YKL163W	PIR3	74%	0.79
YJL139C	YUR1	YKR061W	KTR2	60%	0.99
YJL138C	TIF2	YKR059W	TIF1	100%	1.00
YJL137C	GLG2	YKR058W	GLG1	44%	0.62
YJL136C	RPS21B	YKR057W	RPS21A	98%	1.00
YJL134W	LCB3	YKR053C	YSR3	52%	0.99
YJL133W	MRS3	YKR052C	MRS4	72%	0.97
YJL129C	TRK1	YKR050W	TRK2	51%	0.72
YJL116C	NCA3	YKR042W	UTH1	64%	0.92
YJL112W	MDV1	YKR036C	CAF4	33%	0.90
YJL110C	GZF3	YKR034W	DAL80	36%	0.49
YJL105W	SET4	YKR029C	SET3	25%	0.75
YJL099W	CHS6	YKR027W	BCH2	42%	0.98
YJL098W	SAP185	YKR028W	SAP190	40%	0.96
YJL084C	YJL084C	YKR021W	YKR021W	38%	0.87
YJL083W	TAX4	YKR019C	IRS4	26%	0.98
YJL082W	IML2	YKR018C	YKR018C	66%	0.99
YJL079C	PRY1	YKR013W	PRY2	51%	0.91
YJL076W	NET1	YKR010C	TOF2	16%	0.65
YBR284W	YBR284W	YJL070C	YJL070C	40%	0.90
YBR278W	DPB3	YJL065C	DLS1	26%	0.83
YBR270C	YBR270C	YJL058C	BIT61	41%	1.00
YBR273C	UBX7	YJL048C	UBX6	25%	0.91
YFR024C-A	LSB3	YHR016C	YSC84	66%	0.96
YFR023W	PES4	YHR015W	MIP6	37%	0.93
YFR022W	ROG3	YOR018W	ROD1	39%	0.88
YFR017C	YFR017C	YOL024W	YOL024W	15%	0.88
YFR012W	YFR012W	YOL019W	YOL019W	22%	0.37
YFR013W	IOC3	YOL017W	ESC8	23%	0.91
YFR014C	CMK1	YOL016C	CMK2	53%	1.00
YFR015C	GSY1	YLR258W	GSY2	81%	1.00
YGL158W	RCK1	YLR248W	RCK2	41%	0.84
YLR249W	YEF3	YNL014W	HEF3	83%	1.00
YLR174W	IDP2	YNL009W	IDP3	75%	0.98
YCL011C	GBP2	YNL004W	HRB1	48%	0.94
YNL001W	DOM34	YCL001W-B	YCL001W-B	44%	0.22
YCR005C	CIT2	YNR001C	CIT1	78%	0.96
YCR010C	ADY2	YNR002C	ATO2	78%	1.00
YCR026C	NPP1	YEL016C	NPP2	37%	0.66
YCR024C-A	PMP1	YEL017C-A	PMP2	95%	0.93
YEL022W	GEA2	YJR031C	GEA1	51%	0.97
YEL030W	ECM10	YJR045C	SSC1	80%	0.98
YEL034W	HYP2	YJR047C	ANB1	90%	1.00
YEL039C	CYC7	YJR048W	CYC1	83%	0.96
YEL041W	YEF1	YJR049C	UTR1	46%	0.93
YEL047C	YEL047C	YJR051W	OSM1	63%	0.94
YJR054W	YJR054W	YML047C	PRM6	40%	0.71
YJR059W	PTK2	YKL198C	PTK1	45%	0.79
YKL201C	MNN4	YJR061W	YJR061W	41%	0.79
YJR066W	TOR1	YKL203C	TOR2	66%	1.00
YDL239C	ADY3	YNL225C	CNM67	14%	0.74
YDL229W	SSB1	YNL209W	SSB2	99%	1.00
