Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P03949	ABL1_CAEEL	reviewed	Tyrosine-protein kinase abl-1 (EC 2.7.10.2)	abl-1 M79.1	Caenorhabditis elegans	1224
O45687	ADH2_CAEEL	reviewed	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Sorbitol dehydrogenase family protein 2)	sodh-2 K12G11.4	Caenorhabditis elegans	351
Q09660	CC44_CAEEL	reviewed	Probable cytochrome P450 CYP44 (EC 1.14.-.-)	cyp-44A1 ccp-44 cyp44 ZK177.5	Caenorhabditis elegans	489
G5EFJ4	CAPG1_CAEEL	reviewed	Condensin complex subunit capg-1	capg-1 F29D11.2	Caenorhabditis elegans	1153
G5EBI4	CEEH1_CAEEL	reviewed	Epoxide hydrolase 1 (EC 3.3.2.10)	ceeh-1 K02F3.6	Caenorhabditis elegans	404
Q22230	DECR_CAEEL	reviewed	Probable 2,4-dienoyl-CoA reductase 3 (EC 1.3.1.34)	decr-1.3 T05C12.3	Caenorhabditis elegans	309
Q95QC4	DCLK_CAEEL	reviewed	Serine/threonine-protein kinase zyg-8 (EC 2.7.11.1) (Doublecortin-like and CAM kinase-like protein)	zyg-8 Y79H2A.11	Caenorhabditis elegans	802
Q9XWC2	DMON2_CAEEL	reviewed	DOMON domain-containing protein Y73F4A.1	Y73F4A.1	Caenorhabditis elegans	182
Q23629	DHTK1_CAEEL	reviewed	Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial (EC 1.2.4.2)	ogdh-2 ZK836.2	Caenorhabditis elegans	911
Q11177	DHS27_CAEEL	reviewed	Uncharacterized oxidoreductase dhs-27 (EC 1.-.-.-) (Short-chain dehydrogenase 27)	dhs-27 C04F6.5	Caenorhabditis elegans	816
Q09477	DPFF1_CAEEL	reviewed	Zinc finger protein dpff-1	dpff-1 C28H8.9	Caenorhabditis elegans	372
Q19020	DYHC_CAEEL	reviewed	Dynein heavy chain, cytoplasmic (Dynein heavy chain, cytosolic) (DYHC)	dhc-1 T21E12.4	Caenorhabditis elegans	4568
Q94251	DRE1_CAEEL	reviewed	F-box protein dre-1 (Daf-12 redundant function protein)	dre-1 K04A8.6	Caenorhabditis elegans	936
O17386	CED8_CAEEL	reviewed	Cell death abnormality protein 8	ced-8 F08F1.5	Caenorhabditis elegans	458
Q09EF7	CROCC_CAEEL	reviewed	Rootletin (Abnormal dye filling protein 14) (Chemotaxis abnormal protein 10)	che-10 dyf-14 F35D11.11	Caenorhabditis elegans	1955
P34340	COL90_CAEEL	reviewed	Putative cuticle collagen 90	col-90 C29E4.1	Caenorhabditis elegans	305
P08124	COL1_CAEEL	reviewed	Cuticle collagen 1 (Protein dumpy-15) (Protein squat-3)	sqt-3 col-1 dpy-15 F23H12.4	Caenorhabditis elegans	301
Q8I7J4	COQ2_CAEEL	reviewed	4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)	coq-2 F57B9.4	Caenorhabditis elegans	356
Q21771	CPG3_CAEEL	reviewed	Chondroitin proteoglycan 3	cpg-3 R06C7.4	Caenorhabditis elegans	292
P52017	CYP10_CAEEL	reviewed	Peptidyl-prolyl cis-trans isomerase 10 (PPIase 10) (EC 5.2.1.8) (Cyclophilin-10) (Rotamase 10)	cyn-10 cyp-10 B0252.4	Caenorhabditis elegans	161
Q23280	DAF41_CAEEL	reviewed	Co-chaperone protein daf-41 (Abnormal dauer formation protein daf-41) (p23/cytosolic prostaglandin E synthase 3 homolog)	daf-41 p23 ZC395.10	Caenorhabditis elegans	175
Q10025	DEL10_CAEEL	reviewed	Degenerin-like protein del-10	del-10 T28D9.7	Caenorhabditis elegans	1069
Q19038	DEL1_CAEEL	reviewed	Degenerin del-1	del-1 E02H4.1	Caenorhabditis elegans	664
Q09930	DIRA_CAEEL	reviewed	GTP-binding protein drn-1 (Di-Ras/Rig/Noey2 Ras-like protein homolog) (Fragment)	drn-1 C54A12.4	Caenorhabditis elegans	219
Q9XV52	EFGM_CAEEL	reviewed	Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)	gfm-1 F29C12.4	Caenorhabditis elegans	750
P35800	DPY10_CAEEL	reviewed	Cuticle collagen dpy-10 (Protein dumpy-10)	dpy-10 T14B4.7	Caenorhabditis elegans	372
G5EGE9	DPY26_CAEEL	reviewed	Condensin complex subunit dpy-26	dpy-26 C25G4.5	Caenorhabditis elegans	1263
P41886	BAT41_CAEEL	reviewed	BTB and MATH domain-containing protein 41	bath-41 F37A4.9	Caenorhabditis elegans	418
G5ECQ8	CIN4_CAEEL	reviewed	DNA topoisomerase-like protein cin-4	cin-4 ZK1127.7	Caenorhabditis elegans	842
P34624	CCNY_CAEEL	reviewed	Cyclin-Y	cyy-1 ZK353.1	Caenorhabditis elegans	357
Q93244	CYSK1_CAEEL	reviewed	Cysteine synthase 1 (EC 2.5.1.47) (O-acetylserine (thiol)-lyase 1) (OAS-TL)	cysl-1 C17G1.7	Caenorhabditis elegans	341
P43510	CPR6_CAEEL	reviewed	Cathepsin B-like cysteine proteinase 6 (EC 3.4.22.-) (Cysteine protease-related 6)	cpr-6 C25B8.3	Caenorhabditis elegans	379
P34465	CY561_CAEEL	reviewed	Putative cytochrome b561 (Cytochrome b-561)	F55H2.5	Caenorhabditis elegans	266
O01738	DEFI8_CAEEL	reviewed	Differentially expressed in FDCP 8 homolog	F20H11.1	Caenorhabditis elegans	486
Q22682	EAA4_CAEEL	reviewed	Putative sodium-dependent excitatory amino acid transporter glt-4	glt-4 T22E5.2	Caenorhabditis elegans	499
Q21353	EAA3_CAEEL	reviewed	Putative sodium-dependent excitatory amino acid transporter glt-3	glt-3 K08F4.4	Caenorhabditis elegans	532
P54688	BCAT_CAEEL	reviewed	Branched-chain-amino-acid aminotransferase, cytosolic (BCAT) (EC 2.6.1.42) (ECA39 protein)	bcat-1 eca-39 eca39 K02A4.1	Caenorhabditis elegans	415
Q95QW4	CDF1_CAEEL	reviewed	Cation diffusion facilitator family protein 1	cdf-1 C15B12.7	Caenorhabditis elegans	561
Q20646	CEP1_CAEEL	reviewed	Transcription factor cep-1 (C.elegans p53-like protein 1)	cep-1 F52B5.5	Caenorhabditis elegans	644
P81299	CDC14_CAEEL	reviewed	Tyrosine-protein phosphatase cdc-14 (EC 3.1.3.48) (Cell division cycle-related protein 14)	cdc-14 C17G10.4	Caenorhabditis elegans	709
P34574	CLH_CAEEL	reviewed	Probable clathrin heavy chain 1	chc-1 T20G5.1	Caenorhabditis elegans	1681
Q19970	CL180_CAEEL	reviewed	C-type lectin domain-containing protein 180	clec-180 F32E10.3	Caenorhabditis elegans	896
Q6RYS9	DOPR3_CAEEL	reviewed	Dopamine receptor 3 (Dopamine D2-like receptor dop-3)	dop-3 T14E8.3	Caenorhabditis elegans	607
Q03603	DGK3_CAEEL	reviewed	Probable diacylglycerol kinase 3 (DAG kinase 3) (EC 2.7.1.107) (Diglyceride kinase 3) (DGK-3)	dgk-3 F54G8.2	Caenorhabditis elegans	795
