Species	Symbol	Entrez ID	Model Organism	Model Organism Symbol	Model Organism Entrez ID
Saccharomyces cerevisiae	SNF1	852088	Caenorhabditis elegans	aak-2	181727	
Saccharomyces cerevisiae	SIP2	852664	Caenorhabditis elegans	aakb-1	181492	
Saccharomyces cerevisiae	SIP2	852664	Caenorhabditis elegans	aakb-2	176552	
Saccharomyces cerevisiae	MUP1	852946	Caenorhabditis elegans	aat-8	185079	
Saccharomyces cerevisiae	ACO1	851013	Caenorhabditis elegans	aco-2	176121	
Saccharomyces cerevisiae	FAT1	852329	Caenorhabditis elegans	acs-20	178190	
Saccharomyces cerevisiae	FAA2	856734	Caenorhabditis elegans	acs-5	176785	
Saccharomyces cerevisiae	SCH9	856612	Caenorhabditis elegans	akt-1	179424	
Saccharomyces cerevisiae	AAC3	852380	Caenorhabditis elegans	ant-1.1	176773	
Saccharomyces cerevisiae	APS3	853429	Caenorhabditis elegans	aps-3	171691	
Saccharomyces cerevisiae	ARC35	855771	Caenorhabditis elegans	arx-4	175247	
Saccharomyces cerevisiae	PPN1	852063	Caenorhabditis elegans	asm-3	176879	
Saccharomyces cerevisiae	ATG18	850577	Caenorhabditis elegans	atg-18	179246	
Saccharomyces cerevisiae	ATG3	855741	Caenorhabditis elegans	atg-3	176921	
Saccharomyces cerevisiae	ATG4	855498	Caenorhabditis elegans	atg-4.2	3565022	
Saccharomyces cerevisiae	ATG7	856576	Caenorhabditis elegans	atg-7	178005	
Saccharomyces cerevisiae	ATP2	853585	Caenorhabditis elegans	atp-2	175716	
Saccharomyces cerevisiae	ATP5	851892	Caenorhabditis elegans	atp-3	172195	
Saccharomyces cerevisiae	HAS1	855335	Caenorhabditis elegans	B0511.6	172954	
Saccharomyces cerevisiae	MIG1	852848	Caenorhabditis elegans	blmp-1	172917	
Saccharomyces cerevisiae	BUD31	850427	Caenorhabditis elegans	C07A9.2	176368	
Saccharomyces cerevisiae	SFT2	852172	Caenorhabditis elegans	C18E9.10	174427	
Saccharomyces cerevisiae	PIC2	856779	Caenorhabditis elegans	C33F10.12	183168	
Saccharomyces cerevisiae	CDS1	852317	Caenorhabditis elegans	C33H5.18	3565046	
Saccharomyces cerevisiae	AAC3	852380	Caenorhabditis elegans	C47E12.2	177858	
Saccharomyces cerevisiae	CYC3	851192	Caenorhabditis elegans	cchl-1	174713	
Saccharomyces cerevisiae	COX4	852688	Caenorhabditis elegans	cco-1	172832	
Saccharomyces cerevisiae	NGL1	854115	Caenorhabditis elegans	ccr-4	178184	
Saccharomyces cerevisiae	CCT4	851412	Caenorhabditis elegans	cct-4	174330	
Saccharomyces cerevisiae	CCT6	851768	Caenorhabditis elegans	cct-6	175819	
Saccharomyces cerevisiae	MIH1	855052	Caenorhabditis elegans	cdc-25.1	172353	
Saccharomyces cerevisiae	KIN28	851450	Caenorhabditis elegans	cdk-7	171784	
Saccharomyces cerevisiae	YMR226C	855266	Caenorhabditis elegans	CELE_D1054.8	183917	
Saccharomyces cerevisiae	GCD11	856746	Caenorhabditis elegans	CELE_Y39G10AR.8	171792	
Saccharomyces cerevisiae	NOB1	854221	Caenorhabditis elegans	CELE_Y54E10BR.4	171874	
Saccharomyces cerevisiae	CHC1	852666	Caenorhabditis elegans	chc-1	176434	
Saccharomyces cerevisiae	CHK1	852577	Caenorhabditis elegans	chk-1	3565921	
Saccharomyces cerevisiae	CAT5	854292	Caenorhabditis elegans	clk-1	175729	
Saccharomyces cerevisiae	CNB1	853644	Caenorhabditis elegans	cnb-1	179572	
Saccharomyces cerevisiae	SCP1	854549	Caenorhabditis elegans	cpn-3	171986	
Saccharomyces cerevisiae	CCC2	851862	Caenorhabditis elegans	cua-1	176770	
Saccharomyces cerevisiae	CDC53	851424	Caenorhabditis elegans	cul-1	176466	
Saccharomyces cerevisiae	CYT1	854231	Caenorhabditis elegans	cyc-1	172582	
Saccharomyces cerevisiae	CYC1	853507	Caenorhabditis elegans	cyc-2.1	177243	
Saccharomyces cerevisiae	ERG5	855029	Caenorhabditis elegans	cyp-13B1	181462	
Saccharomyces cerevisiae	ERG11	856398	Caenorhabditis elegans	cyp-42A1	180236	
Saccharomyces cerevisiae	GCD6	851797	Caenorhabditis elegans	D2085.3	174387	
Saccharomyces cerevisiae	KOG1	856593	Caenorhabditis elegans	daf-15	177770	
Saccharomyces cerevisiae	DIS3	854138	Caenorhabditis elegans	dis-3	177875	
Saccharomyces cerevisiae	LAT1	855653	Caenorhabditis elegans	dlat-1	179945	
Saccharomyces cerevisiae	LPD1	850527	Caenorhabditis elegans	dld-1	178387	
Saccharomyces cerevisiae	YOR111W	854278	Caenorhabditis elegans	dod-18	183813	
Saccharomyces cerevisiae	EFT1	851993	Caenorhabditis elegans	eef-2	172743	
Saccharomyces cerevisiae	GAT2	855167	Caenorhabditis elegans	egl-18	176992	
Saccharomyces cerevisiae	KEX2	855483	Caenorhabditis elegans	egl-3	179412	
Saccharomyces cerevisiae	RPG1	852371	Caenorhabditis elegans	egl-45	176094	
Saccharomyces cerevisiae	GPI10	852735	Caenorhabditis elegans	eif-1	266853	
Saccharomyces cerevisiae	PRT1	854543	Caenorhabditis elegans	eif-3.B	175138	
Saccharomyces cerevisiae	SUR4	851087	Caenorhabditis elegans	elo-1	177787	
Saccharomyces cerevisiae	SUR4	851087	Caenorhabditis elegans	elo-2	178532	
Saccharomyces cerevisiae	SUR4	851087	Caenorhabditis elegans	elo-5	177320	
Saccharomyces cerevisiae	GAT2	855167	Caenorhabditis elegans	elt-6	176993	
Saccharomyces cerevisiae	EPL1	850520	Caenorhabditis elegans	epc-1	176679	
Saccharomyces cerevisiae	ERO1	854909	Caenorhabditis elegans	ero-1	173325	
Saccharomyces cerevisiae	RRP40	854023	Caenorhabditis elegans	exos-3	186604	
Saccharomyces cerevisiae	PIC2	856779	Caenorhabditis elegans	F01G4.6	178020	
Saccharomyces cerevisiae	AGC1	856132	Caenorhabditis elegans	F13G3.7	172478	
Saccharomyces cerevisiae	RPA135	856119	Caenorhabditis elegans	F14B4.3	172752	
Saccharomyces cerevisiae	URK1	855746	Caenorhabditis elegans	F19B6.1	178181	
Saccharomyces cerevisiae	SWD1	851265	Caenorhabditis elegans	F21H12.1	174019	
Saccharomyces cerevisiae	OLE1	852825	Caenorhabditis elegans	fat-7	179100	
Saccharomyces cerevisiae	FBP1	851092	Caenorhabditis elegans	fbp-1	266822	
Saccharomyces cerevisiae	YFH1	851437	Caenorhabditis elegans	frh-1	174002	
Saccharomyces cerevisiae	BMH1	856924	Caenorhabditis elegans	ftt-2	181348	
Saccharomyces cerevisiae	GDI1	856876	Caenorhabditis elegans	gdi-1	178402	
Saccharomyces cerevisiae	GPA1	856394	Caenorhabditis elegans	goa-1	172505	
Saccharomyces cerevisiae	GPA1	856394	Caenorhabditis elegans	gpa-3	179319	
Saccharomyces cerevisiae	TDH2	853465	Caenorhabditis elegans	gpd-2	3565504	
Saccharomyces cerevisiae	TDH2	853465	Caenorhabditis elegans	gpd-3	180601	
Saccharomyces cerevisiae	PGI1	852495	Caenorhabditis elegans	gpi-1	173227	
Saccharomyces cerevisiae	MOD5	854448	Caenorhabditis elegans	gro-1	175725	
Saccharomyces cerevisiae	ATP1	852177	Caenorhabditis elegans	H28O16.1	173134	
Saccharomyces cerevisiae	KEL3	855865	Caenorhabditis elegans	hcf-1	177560	
Saccharomyces cerevisiae	GUP2	855912	Caenorhabditis elegans	hhat-2	190374	
Saccharomyces cerevisiae	HHT1	852295	Caenorhabditis elegans	his-71	181057	
Saccharomyces cerevisiae	HRP1	853997	Caenorhabditis elegans	hrp-1	177101	
Saccharomyces cerevisiae	HSF1	852806	Caenorhabditis elegans	hsf-1	173078	
Saccharomyces cerevisiae	KAR2	853418	Caenorhabditis elegans	hsp-4	174203	
Saccharomyces cerevisiae	SSC1	853503	Caenorhabditis elegans	hsp-6	178873	
Saccharomyces cerevisiae	LAG1	856386	Caenorhabditis elegans	hyl-1	177660	
Saccharomyces cerevisiae	IDP1	851493	Caenorhabditis elegans	idh-1	177775	
Saccharomyces cerevisiae	IDH2	854303	Caenorhabditis elegans	idha-1	172655	
Saccharomyces cerevisiae	CDC33	854026	Caenorhabditis elegans	ife-1	176755	
Saccharomyces cerevisiae	CDC33	854026	Caenorhabditis elegans	ife-2	180393	
Saccharomyces cerevisiae	HYP2	856677	Caenorhabditis elegans	iff-1	176373	
Saccharomyces cerevisiae	TIF4631	853071	Caenorhabditis elegans	ifg-1	174322	
Saccharomyces cerevisiae	SUI3	855838	Caenorhabditis elegans	iftb-1	172584	
Saccharomyces cerevisiae	TIF2	853303	Caenorhabditis elegans	inf-1	175966	
Saccharomyces cerevisiae	IRE1	856478	Caenorhabditis elegans	ire-1	174305	
Saccharomyces cerevisiae	RIP1	856689	Caenorhabditis elegans	isp-1	177609	
Saccharomyces cerevisiae	YIA6	854811	Caenorhabditis elegans	K01C8.7	186841	
Saccharomyces cerevisiae	PAC2	856724	Caenorhabditis elegans	K07H8.1	177624	
Saccharomyces cerevisiae	UGP1	853830	Caenorhabditis elegans	K08E3.5	176814	
Saccharomyces cerevisiae	ERG10	856079	Caenorhabditis elegans	kat-1	174161	
Saccharomyces cerevisiae	NAM2	851098	Caenorhabditis elegans	lars-2	172499	
Saccharomyces cerevisiae	TOR1	853529	Caenorhabditis elegans	let-363	172167	
Saccharomyces cerevisiae	RAS1	854268	Caenorhabditis elegans	let-60	178104	
Saccharomyces cerevisiae	ATG8	852200	Caenorhabditis elegans	lgg-1	174050	
Saccharomyces cerevisiae	LSM7	855575	Caenorhabditis elegans	lsm-7	177988	
Saccharomyces cerevisiae	MES1	853181	Caenorhabditis elegans	mars-1	178089	
Saccharomyces cerevisiae	MCM2	852258	Caenorhabditis elegans	mcm-2	174841	
Saccharomyces cerevisiae	MDH1	853777	Caenorhabditis elegans	mdh-2	175936	
Saccharomyces cerevisiae	ETR1	852314	Caenorhabditis elegans	mecr-1	174963	
Saccharomyces cerevisiae	YMR118C	855145	Caenorhabditis elegans	mev-1	260040	
Saccharomyces cerevisiae	MKK1	854406	Caenorhabditis elegans	mkk-4	185682	
