"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"YFL014W" "MATCH" "1" "HSP12" "S. cerevisiae" "Heat Shock Protein" "330" "YFL014W" "S000001880" "ORF"
"YPR180W" "MATCH" "1" "AOS1" "S. cerevisiae" "Activation Of Smt3p" "1044" "YPR180W" "S000006384" "ORF"
"YJR120W" "MATCH" "1" "" "S. cerevisiae" "" "351" "YJR120W" "S000003881" "ORF"
"YHR208W" "MATCH" "1" "BAT1" "S. cerevisiae" "Branched-chain Amino acid Transaminase" "1182" "YHR208W" "S000001251" "ORF"
"YER007C-A" "MATCH" "1" "TMA20" "S. cerevisiae" "Translation Machinery Associated" "649" "YER007C-A" "S000002957" "ORF"
"YMR198W" "MATCH" "1" "CIK1" "S. cerevisiae" "Chromosome Instability and Karyogamy" "1785" "YMR198W" "S000004811" "ORF"
"YMR065W" "MATCH" "1" "KAR5" "S. cerevisiae" "KARyogamy" "1515" "YMR065W" "S000004669" "ORF"
"YNR002C" "MATCH" "1" "ATO2" "S. cerevisiae" "Ammonia (Ammonium) Transport Outward" "849" "YNR002C" "S000005285" "ORF"
"YJL029C" "MATCH" "1" "VPS53" "S. cerevisiae" "Vacuolar Protein Sorting" "2469" "YJL029C" "S000003566" "ORF"
"YNL214W" "MATCH" "1" "PEX17" "S. cerevisiae" "PEroXisome related" "600" "YNL214W" "S000005158" "ORF"
"YPL089C" "MATCH" "1" "RLM1" "S. cerevisiae" "Resistance to Lethality of MKK1P386 overexpression" "2031" "YPL089C" "S000006010" "ORF"
"YAL062W" "MATCH" "1" "GDH3" "S. cerevisiae" "Glutamate DeHydrogenase" "1374" "YAL062W" "S000000058" "ORF"
"YML010W" "MATCH" "1" "SPT5" "S. cerevisiae" "SuPpressor of Ty's" "3192" "YML010W" "S000004470" "ORF"
"YBR187W" "MATCH" "1" "GDT1" "S. cerevisiae" "Gcr1 Dependent Translation factor" "843" "YBR187W" "S000000391" "ORF"
"YBR054W" "MATCH" "1" "YRO2" "S. cerevisiae" "" "1035" "YBR054W" "S000000258" "ORF"
"YBR055C" "MATCH" "1" "PRP6" "S. cerevisiae" "Pre-mRNA Processing" "2700" "YBR055C" "S000000259" "ORF"
"YOR205C" "MATCH" "1" "GEP3" "S. cerevisiae" "GEnetic interactors of Prohibitins" "1671" "YOR205C" "S000005731" "ORF"
"YPR181C" "MATCH" "1" "SEC23" "S. cerevisiae" "SECretory" "2307" "YPR181C" "S000006385" "ORF"
"YBL071W-A" "MATCH" "1" "KTI11" "S. cerevisiae" "Kluveromyces lactis Toxin Insensitive" "249" "YBL071W-A" "S000007587" "ORF"
"YHR209W" "MATCH" "1" "CRG1" "S. cerevisiae" "Cantharidin Resistance Gene" "876" "YHR209W" "S000001252" "ORF"
"YML011C" "MATCH" "1" "RAD33" "S. cerevisiae" "RADiation sensitive" "534" "YML011C" "S000004472" "ORF"
"YBR188C" "MATCH" "1" "NTC20" "S. cerevisiae" "Prp19p (NineTeen)-associated Complex" "423" "YBR188C" "S000000392" "ORF"
"YDR459C" "MATCH" "1" "PFA5" "S. cerevisiae" "Protein Fatty Acyltransferase" "1125" "YDR459C" "S000002867" "ORF"
"YDR325W" "MATCH" "1" "YCG1" "S. cerevisiae" "Yeast Cap G" "3108" "YDR325W" "S000002733" "ORF"
"YGL216W" "MATCH" "1" "KIP3" "S. cerevisiae" "KInesin related Protein" "2418" "YGL216W" "S000003184" "ORF"
"YOR337W" "MATCH" "1" "TEA1" "S. cerevisiae" "Ty Enhancer Activator" "2280" "YOR337W" "S000005864" "ORF"
"YOR204W" "MATCH" "1" "DED1" "S. cerevisiae" "Defines Essential Domain" "1815" "YOR204W" "S000005730" "ORF"
"YGR006W" "MATCH" "1" "PRP18" "S. cerevisiae" "Pre-mRNA Processing" "756" "YGR006W" "S000003238" "ORF"
"YAL061W" "MATCH" "1" "BDH2" "S. cerevisiae" "" "1254" "YAL061W" "S000000057" "ORF"
"YMR066W" "MATCH" "1" "SOV1" "S. cerevisiae" "Synthesis Of Var" "2697" "YMR066W" "S000004670" "ORF"
"YNL213C" "MATCH" "1" "RRG9" "S. cerevisiae" "Required for Respiratory Growth" "645" "YNL213C" "S000005157" "ORF"
"YMR199W" "MATCH" "1" "CLN1" "S. cerevisiae" "CycLiN" "1641" "YMR199W" "S000004812" "ORF"
"YFL016C" "MATCH" "1" "MDJ1" "S. cerevisiae" "Mitochondrial DnaJ" "1536" "YFL016C" "S000001878" "ORF"
"YNR001C" "MATCH" "1" "CIT1" "S. cerevisiae" "CITrate synthase" "1440" "YNR001C" "S000005284" "ORF"
"YMR067C" "MATCH" "1" "UBX4" "S. cerevisiae" "UBiquitin regulatory X" "1251" "YMR067C" "S000004671" "ORF"
"YJL200C" "MATCH" "1" "ACO2" "S. cerevisiae" "ACOnitase" "2370" "YJL200C" "S000003736" "ORF"
"YDR326C" "MATCH" "1" "YSP2" "S. cerevisiae" "Yeast Suicide Protein" "4317" "YDR326C" "S000002734" "ORF"
"YGR003W" "MATCH" "1" "CUL3" "S. cerevisiae" "CULlin" "2235" "YGR003W" "S000003235" "ORF"
"YFL012W" "MATCH" "1" "" "S. cerevisiae" "" "447" "YFL012W" "S000001882" "ORF"
"YGL215W" "MATCH" "1" "CLG1" "S. cerevisiae" "Cyclin-Like Gene" "1359" "YGL215W" "S000003183" "ORF"
"YJL201W" "MATCH" "1" "ECM25" "S. cerevisiae" "ExtraCellular Mutant" "1800" "YJL201W" "S000003737" "ORF"
"YML013W" "MATCH" "1" "UBX2" "S. cerevisiae" "UBiquitin regulatory X" "1755" "YML013W" "S000004475" "ORF"
"YOR336W" "MATCH" "1" "KRE5" "S. cerevisiae" "Killer toxin REsistant" "4098" "YOR336W" "S000005863" "ORF"
"YGR136W" "MATCH" "1" "LSB1" "S. cerevisiae" "Las Seventeen Binding protein" "726" "YGR136W" "S000003368" "ORF"
"YPL087W" "MATCH" "1" "YDC1" "S. cerevisiae" "Yeast DihydroCeramidase" "954" "YPL087W" "S000006008" "ORF"
"YPR182W" "MATCH" "1" "SMX3" "S. cerevisiae" "" "261" "YPR182W" "S000006386" "ORF"
"YNL212W" "MATCH" "1" "VID27" "S. cerevisiae" "Vacuolar Import and Degradation" "2349" "YNL212W" "S000005156" "ORF"
"YFL013C" "MATCH" "1" "IES1" "S. cerevisiae" "Ino Eighty Subunit" "2079" "YFL013C" "S000001881" "ORF"
"YAL064W" "MATCH" "1" "" "S. cerevisiae" "" "285" "YAL064W" "S000000060" "ORF"
"YDR329C" "MATCH" "1" "PEX3" "S. cerevisiae" "PEroXin" "1326" "YDR329C" "S000002737" "ORF"
"YNL211C" "MATCH" "1" "MRX7" "S. cerevisiae" "Mitochondrial oRganization of gene eXpression (MIOREX)" "261" "YNL211C" "S000005155" "ORF"
"YMR068W" "MATCH" "1" "AVO2" "S. cerevisiae" "Adheres VOraciously (to TOR2)" "1281" "YMR068W" "S000004672" "ORF"
"YML012W" "MATCH" "1" "ERV25" "S. cerevisiae" "ER Vesicle" "636" "YML012W" "S000004473" "ORF"
"YOR202W" "MATCH" "1" "HIS3" "S. cerevisiae" "HIStidine" "663" "YOR202W" "S000005728" "ORF"
"YGR004W" "MATCH" "1" "PEX31" "S. cerevisiae" "PEroXisome related" "1389" "YGR004W" "S000003236" "ORF"
"YPL088W" "MATCH" "1" "" "S. cerevisiae" "" "1029" "YPL088W" "S000006009" "ORF"
"YDR014W-A" "MATCH" "1" "HED1" "S. cerevisiae" "High copy suppressor of rED1" "489" "YDR014W-A" "S000113613" "ORF"
"YNR003C" "MATCH" "1" "RPC34" "S. cerevisiae" "RNA Polymerase C" "954" "YNR003C" "S000005286" "ORF"
"YBR186W" "MATCH" "1" "PCH2" "S. cerevisiae" "Pachytene CHeckpoint" "1808" "YBR186W" "S000000390" "ORF"
"YDR320C-A" "MATCH" "1" "DAD4" "S. cerevisiae" "Duo1 And Dam1 interacting" "219" "YDR320C-A" "S000007604" "ORF"
"YGR138C" "MATCH" "1" "TPO2" "S. cerevisiae" "Transporter of POlyamines" "1845" "YGR138C" "S000003370" "ORF"
"YOR335C" "MATCH" "1" "ALA1" "S. cerevisiae" "ALAnyl-tRNA synthetase" "2877" "YOR335C" "S000005862" "ORF"
"YDR328C" "MATCH" "1" "SKP1" "S. cerevisiae" "Suppressor of Kinetochore Protein mutant" "585" "YDR328C" "S000002736" "ORF"
